,V1
708,Zdhhc4
709,Cdk2ap1
710,Pet100
711,Ier3
712,Smim19
713,Mrpl22
714,Lancl2
715,4932438A13Rik
716,Zfp362
717,Pdcd10
718,A230020J21Rik
719,Fam222b
720,Slc38a9
721,Etfdh
722,Emsy
723,Nfyc
724,1700021F05Rik
725,Rbks
726,Cklf
727,Ccdc6
728,4930453N24Rik
729,Rps6kb1
730,Ing5
731,Snrnp40
732,Gstk1
733,Ccr5
734,Osbpl1a
735,Brd4
736,Narfl
737,Mrps22
738,Ttf1
739,Dpm2
740,Tmem68
741,Pkmyt1
742,Lsm10
743,Pank4
744,Rbm14
745,Tctn3
746,Bcl2l13
747,Mcee
748,Fbf1
749,Ophn1
750,Sem1
751,Mphosph10
752,Atmin
753,Rad1
754,Cdc45
755,Dguok
756,Pop4
757,Taf5l
758,Rad18
759,Nudt2
760,Zfp414
761,Acyp1
762,Stxbp2
763,Gpsm2
764,Fam212a
765,Wrn
766,Sumf2
767,1110038B12Rik
768,Trappc6b
769,Rbmxl1
770,Snrpf
771,Arl2
772,Ccdc71
773,Scnm1
774,Grcc10
775,Gm10653
776,Tmcc1
777,Uqcr11
778,Srsf10
779,Upf3b
780,Mpst
781,Zfp143
782,Prkag2
783,Dhrs1
784,Ddx3x
785,Prim2
786,Rnaset2a
787,Ddb2
788,Trmt6
789,Fancl
790,Colgalt1
791,E2f3
792,Mt2
793,Rbm18
794,Clvs1
795,Oxsm
796,Mrps34
797,Rad17
798,Uqcc1
799,Sdad1
800,Pfdn1
801,Sla
802,Apool
803,Gatc
804,Btbd10
805,Endog
806,Thoc7
807,Trim11
808,Mthfd2
809,Dclre1b
810,Cnot4
811,Zfp971
812,Ttc33
813,Cltb
814,Lsm2
815,Sf3a3
816,Ascc1
817,Aimp2
818,Nr2c1
819,Zbtb17
820,Guca1a
821,Rpap2
822,Polr3a
823,Odc1
824,Ift22
825,Wdr44
826,Iscu
827,Gtf2a2
828,Akip1
829,Terf2
830,Cops9
831,Mr1
832,Lsm14b
833,Fam111a
834,Nrde2
835,Mrpl53
836,Nat2
837,Gtf2e2
838,Abhd8
839,Ctsf
840,Nme4
841,Leo1
842,Nupr1
843,Prps2
844,Fabp7
845,Gas8
846,Elmod3
847,Ets2
848,Fam213b
849,R3hcc1l
850,Tm2d1
851,Rnf123
852,Usp39
853,Tctex1d2
854,Tada1
855,Pced1a
856,Gna15
857,Pex3
858,Lyrm4
859,Cdc23
860,Mcu
861,Cdkn2aip
862,Nol4l
863,Dnal4
864,Prpf38a
865,Kdm5d
866,Slc25a28
867,Cutc
868,Dmac1
869,Vcl
870,Copg2
871,Nsun5
872,Pomk
873,Cxcl10
874,Supt4a
875,Abhd17b
876,Actr10
877,Zbed3
878,Ano10
